precedent_id,case_number,case_name,court_name,decision_date_iso,crime_name,sex_type,lawyer,punishment,guilty,year,injury_weeks,reduced,outcome,minor_victim,relative,special,distribute,habit_flag,agree,reflection,first_offender,same_record,recovery,conceal,deny
221011,"2021노36, 2021전노3(병합)",성폭력범죄의처벌등에관한특례법위반(13세미만미성년자위계등간음)·성폭력범죄의처벌등에관한특례법위반(13세미만미성년자위계등추행)·부착명령,부산고등법원(울산),2021-10-13,13세미만 미성년자 위계등 간음·추행·부착명령,indecent,lawyer,imprisonment,Guilty,7.0,,aggravated,False,1,0,1,0,0,0,0,0,0,0,0,0
241413,2020노1164,아동·청소년의성보호에관한법률위반(음란물제작·배포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·아동·청소년의성보호에관한법률위반(성매수등),서울고등법원,2021-01-07,아동·청소년 성매수·성착취물 제작·불법촬영,camera,lawfirm,suspended,Guilty,2.5,,normal,True,1,0,0,1,1,0,0,0,0,0,1,0
225979,2019노3411,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·성매매알선등행위의처벌에관한법률위반(성매매알선등),부산지방법원,2020-01-10,카메라등이용촬영·성매매알선,camera,lawfirm,both,Guilty,1.0,,normal,False,1,0,0,0,0,0,0,0,1,0,0,0
213337,"2019고합141, 2019전고8(병합)","성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준유사성행위), 성폭력범죄의처벌등에관한특례법위반(친족관계에의한준강제추행), 성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준강제추행), 아동복지법위반",부산지방법원 동부지원,2019-12-10,13세미만 미성년자 준유사성행위·친족관계 준강제추행·아동복지법위반,indecent,public,imprisonment,Guilty,4.0,,normal,False,1,1,1,0,0,1,1,1,0,0,0,0
217183,2018노2934,강제추행(인정된죄명공연음란),창원지방법원,2019-05-16,강제추행(예비적 죄명 공연음란),indecent,lawfirm,fine,Guilty,,,,False,1,0,0,0,0,0,0,0,0,0,0,0
225053,"2018고합55, 2018전고4(병합), 2018보고2(병합)",성폭력범죄의처벌등에관한특례법위반(친족관계에의한강제추행)·성폭력범죄의처벌등에관한특례법위반(13세미만미성년자강제추행)·아동·청소년의성보호에관한법률위반(유사성행위)·아동복지법위반(아동학대)·부착명령·보호관찰명령,수원지방법원 여주지원,2019-02-14,친족관계 강제추행·13세미만 강제추행·유사성행위·아동학대,indecent,lawfirm,suspended,Guilty,7.5,,aggravated,True,1,1,0,0,0,0,1,1,0,0,0,0
209385,2017노477,강간·특수상해·상해·특수협박·협박·폭행,대전고등법원,2018-05-04,강간·특수상해·상해·특수협박·협박·폭행,rape,lawfirm,imprisonment,Guilty,1.5,,reduced,True,0,0,0,0,1,0,0,0,1,0,0,1
207182,2017고99,강간(인정된죄명:준강간),제2작전사령부 보통군사법원,2018-02-06,강간(인정죄명 준강간),rape,lawyer,imprisonment,Guilty,2.5,,reduced,True,1,0,1,0,0,0,0,1,0,0,0,0
222895,2016노1982,강제추행,서울동부지방법원,2017-06-29,강제추행,indecent,lawyer,fine,Guilty,,,,False,1,0,0,0,0,1,0,1,0,0,0,0
193131,2016노386,강간치상·강제추행치상·마약류관리에관한법률위반(향정),대구고등법원,2017-02-03,강간치상·강제추행치상·마약류관리법위반(향정),rape,lawyer,suspended,Guilty,3.0,,reduced,True,1,0,1,0,0,1,1,0,0,0,0,0
197630,2016노2386,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자강제추행),서울고등법원,2016-12-02,성폭력처벌법위반(13세미만미성년자강제추행),indecent,public,suspended,Guilty,2.5,,normal,True,1,0,0,0,0,0,0,0,0,0,0,0
614591,"2015노106, 2015전노9(병합)","성폭력범죄의처벌등에관한특례법위반(장애인강간)(인정된 죄명 강간, 강간미수), 성폭력범죄의처벌등에관한특례법위반(장애인위계등간음), 성폭력범죄의처벌등에관한특례법위반(장애인강제추행)(인정된 죄명 강제추행), 부착명령",광주고등법원(제주),2016-03-16,장애인강간·강간·강간미수·장애인위계간음·장애인강제추행·강제추행·부착명령,rape,lawfirm,suspended,Guilty,3.0,,normal,True,0,0,1,0,0,1,0,1,0,1,0,1
184208,2015고단4415,성폭력범죄의처벌등에관한특례법위반(업무상위력등에의한추행),부산지방법원,2015-10-15,성폭력처벌법위반(업무상위력등에의한추행),indecent,,suspended,Guilty,0.5,,reduced,True,1,0,0,0,0,0,1,0,0,0,0,0
220235,2015고단141,준강제추행·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),청주지방법원,2015-04-24,준강제추행·성폭력처벌법위반(카메라등이용촬영),camera,lawfirm,suspended,Guilty,0.5,,reduced,True,1,0,1,0,0,0,1,1,0,0,0,0
224233,2014노4413,성폭력범죄의처벌등에관한특례법위반(공중밀집장소에서의추행)(예비적죄명:강제추행미수),서울중앙지방법원,2015-04-24,성폭력처벌법위반(공중밀집장소추행)·강제추행미수,indecent,public,fine,Guilty,,,,False,1,0,0,0,0,0,0,0,0,0,0,0
609339,2024노3404,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(허위영상물편집·반포등)·성폭력범죄의처벌등에관한특례법위반(비밀준수등),서울중앙지방법원,2025-04-29,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영,camera,lawyer,imprisonment,Guilty,6.0,,aggravated,False,0,0,0,1,0,0,1,0,0,0,0,0
618449,2024노1726,강제추행·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등),전주지방법원,2025-02-20,강제추행,indecent,lawfirm,suspended,Guilty,1.0,,normal,True,1,0,0,0,0,1,0,0,1,0,1,1
