"","outcome","lawyer","punishment","month","demage","repeated","reflection","conceal","settlement","restitution","crime"
"328",NA,"lawfirm","imprisonment",NA,NA,0,0,1,0,0,"breach"
"329",NA,"lawfirm","imprisonment",NA,NA,0,0,1,0,0,"breach"
"330",0,"lawfirm","suspended",72,20920767193,0,0,1,0,0,"breach"
"331",0,"lawyer","imprisonment",30,6.55e+08,0,0,1,0,1,"breach"
"332",NA,"lawfirm","suspended",NA,NA,0,0,1,0,0,"breach"
"333",NA,"lawyer","both",NA,1.94e+09,0,0,1,0,0,"breach"
"334",NA,"lawfirm","suspended",NA,NA,0,0,0,0,0,"breach"
"335",NA,"lawfirm","both",NA,NA,0,0,1,0,0,"breach"
"336",NA,"lawfirm","suspended",NA,1576690656,0,0,1,0,0,"breach"
"337",NA,"lawfirm","suspended",NA,4.44e+10,0,0,1,0,0,"breach"
"338",NA,"lawyer","suspended",18,NA,0,0,1,0,0,"breach"
"339",NA,"lawyer","both",NA,NA,0,0,1,0,0,"breach"
"340",NA,"lawyer","imprisonment",NA,1e+07,0,0,1,0,0,"breach"
"341",0,"lawfirm","suspended",12,31922000,0,0,1,0,0,"breach"
"342",NA,"lawfirm","suspended",60,NA,0,0,1,0,0,"breach"
"343",0,"lawyer","suspended",76,105700000,0,0,1,0,0,"breach"
"344",NA,"lawyer","imprisonment",NA,1e+08,0,0,1,0,0,"breach"
"345",NA,"lawfirm","imprisonment",NA,3e+07,0,0,1,0,0,"breach"
"346",NA,"lawyer","suspended",10,NA,0,0,1,0,1,"breach"
"347",NA,"lawfirm","imprisonment",NA,NA,0,0,1,0,0,"breach"
"348",1,"lawfirm","suspended",8,2.5e+08,0,0,0,0,1,"breach"
"349",0,"lawfirm","suspended",12,2.4e+07,0,1,0,0,1,"breach"
"350",0,"lawfirm","both",84,118120000,0,0,1,0,0,"breach"
"351",NA,NA,"both",NA,NA,0,0,0,0,0,"breach"
"352",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach"
"353",0,"lawfirm","suspended",12,3e+07,0,0,0,0,0,"breach"
"354",NA,"lawfirm","suspended",36,NA,0,1,0,0,1,"breach"
"355",NA,"lawfirm","suspended",12,NA,0,1,0,0,1,"breach"
"356",1,"lawfirm","suspended",48,1.1e+10,0,0,1,0,1,"breach"
"357",NA,"lawfirm","suspended",4,NA,0,0,0,0,0,"breach"
"358",NA,"lawfirm","suspended",10,NA,0,0,1,0,0,"breach"
"359",NA,NA,"both",NA,NA,0,0,0,0,0,"breach"
"360",0,"lawfirm","suspended",36,3.2e+09,0,0,1,0,1,"breach"
"361",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach"
"362",1,"lawfirm","imprisonment",24,3470766900,0,0,0,0,1,"breach"
"363",0,"lawfirm","imprisonment",60,2.211e+09,0,0,1,0,0,"breach"
